"Alexio","male","0","person","PR"
"Alexis y Fido","mixed","18","group","PR"
"Aleyna Tilki","female","20","person","TR"
"Alfa","female","0","person","US"
"Alfons","male","0","person","SE"
"Alfred García","male","23","person","ES"
"Alfred Hui","male","32","person","HK"
"Alfredo Olivas","male","0","person","MX"
"Ali As","male","41","person","DE"
"Ali B","male","38","person","NL"
"Ali Bumaye","","0","",""
"Ali Gatie","male","23","person","CA"
"Ali471","","0","",""
"Alia Bhatt","female","27","person",""
"Alice Merton","female","26","person","CA"
"Alice Tegner","female","79","person","SE"
"Alicia Keys","female","39","person","US"
"Alicia Moffet","female","0","person",""
"Alicya","","0","",""
"Alida","","0","",""
"Alif","mixed","0","group",""
"Alif Satar","male","29","person","MY"
"Alika","female","43","person","AR"
"Alina Baraz","female","26","person","US"
"ALISA UENO","female","0","person",""
"Alison Wonderland","female","33","person","AU"
"Alisson Shore","","0","",""
"Alivor","","0","",""
"Aliyah","","0","",""
"Alizée","female","35","person","FR"
"Alizzz","male","0","person","ES"
"Alka Yagnik","female","54","person","IN"
"Alkaline","male","26","person","JM"
"Alkilados","mixed","10","group","CO"
"Alkilados feat. Nicky Jam, J. Alvarez, El Roockie","male","42","person","PA"
"Alkpote","male","39","person","FR"
"Allame","male","31","person","TR"
"Allan Kingdom","male","26","person",""
"ALLBLACK","","0","",""
"Allday","male","29","person",""
"Alle Farben","male","35","person","DE"
"Alli Neumann","","0","",""
"Alligatoah","male","30","person","DE"
"Allj","male","26","person","RU"
"ALLMO$T","mixed","4","group","PH"
"ALLY","","0","",""
"Ally Brooke","female","27","person","US"
"Allyawan","male","32","person","SE"
"ALMA","female","24","person","FI"
"Almighty","mixed","32","group","GB"
"Almklausi","male","0","person","DE"
"Almy","","0","",""
"Aloe Blacc","male","41","person","US"
"Alok","male","28","person","BR"
"Alonzo","male","38","person","FR"
"Alpa Gun","male","40","person",""
"Alper Ayyıldız","male","0","person","DE"
"Alpha Wann","male","0","person","FR"
"Alphabeat","mixed","16","group","DK"
"Alrima","","0","",""
"alt-J","mixed","13","group",""
"Alta Consigna","mixed","0","group","MX"
"Altamash Faridi","male","0","person",""
"Altimet","male","41","person","MY"
"AlunaGeorge","mixed","11","group","GB"
"Alvaro","male","33","person","NL"
"Alvaro Estrella","male","39","person","SE"
"Alvaro Soler","male","29","person","ES"
"Alx Veliz","male","0","person",""
"Alyssa Reid","female","27","person",""
"Alz X 38","mixed","0","group",""
"Alzate","male","39","person","CO"
"AM La Scampia","","0","",""
"Amaal Mallik","male","0","person","IN"
"Amaia","","0","",""
"Amaia Montero","female","43","person","ES"
"AMAL","male","0","person","ES"
"Aman Aziz","mixed","0","group",""
"Aman Hayer","male","0","person","GB"
"Amanda","mixed","0","group","SE"
"Amanda Bergman","female","32","person","SE"
"Amanda Delara","female","23","person",""
"Amanda Jenssen","female","31","person","SE"
"Amanda Serra","male","60","person","FR"
"Amanda Seyfried","female","34","person","US"
"Amar Azul","mixed","0","group",""
"Amara Abonta","","0","",""
"Amber Van Day","","0","",""
"Amber-Simone","female","23","person",""
"Ambjaay","male","0","person",""
"Amedeo Preziosi","","0","",""
"AMEE","male","34","person","ID"
"Amelia Monét","female","0","person",""
"Amenazzy","male","24","person","DO"
"American Authors","mixed","9","group","US"
"Américo","male","42","person","CL"
"Amigdala","","0","",""
"Amina","female","58","person","FR"
"Aminé","male","38","person","MA"
"Amir","male","36","person",""
"Amir Benayoun","male","44","person","IL"
"Amir Dadon","male","44","person","IL"
"Amit Gupta","male","0","person",""
"Amit Mishra","male","0","person","IN"
"Amit Trivedi","male","41","person","IN"
"Amitabh Bachchan","male","77","person",""
"Amitabh Bhattacharya","male","0","person",""
"Ammy The Bottom Blues","","0","","JP"
"Ammy Virk","male","0","person",""
"Amrit Maan","male","28","person","IN"
"Amrita Singh","","0","",""
"AMRO","male","32","person","BE"
"Amruta Khanvilkar","male","0","person","IN"
"Amsie Brown","","0","",""
"AmsterdamSoundSystem","mixed","0","group",""
"Amtilb","","0","",""
"Amuly","","0","",""
"Amy Kaylee","","0","",""
"Amy Shark","female","34","person","AU"
"Amy Winehouse","female","27","person","GB"
"Amylea","","0","",""
"Ana Cañas","female","39","person","BR"
"Ana Diaz","female","43","person","SE"
"Ana Gabriela","female","0","person","BR"
"Ana Guerra","female","26","person","ES"
"Ana Mena","female","0","person","ES"
"Ana Tijoux","female","43","person","CL"
"Ana Torroja","female","60","person","ES"
"Ana Vilela","female","0","person","BR"
"Anahí","female","37","person","MX"
"Anais Delva","female","34","person","FR"
"Analaga","male","0","person","BR"
"Anand-Milind","mixed","36","group","IN"
"Ananda","mixed","26","group","FR"
"Ananya Panday","female","0","person","IN"
"Anastacia","female","51","person","US"
"Anastasio","male","23","person","IT"
"ANAVITÓRIA","mixed","7","group","BR"
"Anbu","mixed","5","group","NL"
"anders","mixed","0","group","ZA"
"Anders Ekborg","male","59","person","SE"
"Anders Hemmingsen","male","0","person","NZ"
"Anders Matthesen","","0","",""
"Anders Nilsen","male","32","person","NO"
"Anderson .Paak","male","34","person","US"
"Andi Bernadee","","0","",""
"Andi Rianto","male","0","person","ID"
"Andiez","","0","",""
"Andmesh","","0","",""
"Andra & The Backbone","mixed","13","group","ID"
"Andra Day","female","35","person","US"
"Andre Benjamin","male","45","person",""
"Andre Hazes","male","53","person","NL"
"André Hazes Jr.","male","26","person","NL"
"Andre Hehanussa","male","56","person","ID"
"André Sarate","male","70","person","NL"
"Andrea Bocelli","male","61","person","IT"
"Andreas Bourani","male","36","person","DE"
"Andreas Gabalier","male","35","person","AT"
"Andreas Johnson","male","50","person","SE"
"Andreas Moe","male","31","person","SE"
"andreas odbjerg","male","55","person","DE"
"Andreas Schuller","male","0","person",""
"Andreas Weise","male","33","person","SE"
"Andrelli","","0","",""
"Andrés Calamaro","male","58","person","AR"
"Andrés Cepeda","male","47","person","CO"
"Andrés Dvicio","","0","",""
"Andrés Suárez","male","37","person","ES"
"Andrés Torres","male","0","person","CO"
"Andrew Jackson","male","0","person",""
"Andrew Tan","male","36","person","TW"
"Andrew Wyatt","male","0","person","US"
"Andry The Hitmaker","male","0","person",""
"Andy Garcia","male","0","person",""
"Andy Grammer","male","36","person","US"
"Andy Rivera","male","25","person","CO"
"Andy VDM","","0","",""
"Andy Williams","male","84","person","US"
"Ane Brun","female","44","person","NO"
"Angel","mixed","45","group","US"
"Angel Lopez","male","0","person",""
"Angel Parra","male","73","person","CL"
"Ángela Aguilar","female","16","person","MX"
"Angela Chang","female","38","person","TW"
"Angela Hui","female","0","person","HK"
"Angèle","female","24","person","BE"
"Angelica Vale","","0","",""
"Angeline Quinto","female","30","person","PH"
"Angelo King","male","28","person",""
"Angus & Julia Stone","mixed","14","group","AU"
"Ania Dabrowska","female","39","person","PL"
"Animus","male","32","person","DE"
"Aninia","female","31","person","SE"
"Anirudh Ravichander","male","29","person","IN"
"Anis Don Demina","male","27","person",""
"Anita Kerr Singers","mixed","68","group","US"
"Anitta","female","27","person","BR"
"Anıl Piyancı","male","30","person","TR"
"Anji","male","40","person","ID"
"Anjulie","female","37","person","CA"
"Ankhal","mixed","0","group",""
"Ankit Tiwari","male","0","person","IN"
"ANNA","female","62","person","GR"
"Anna Bergendahl","female","28","person","SE"
"Anna Carina","female","38","person","PE"
"Anna Hamilton","female","24","person","US"
"Anna Kendrick","female","34","person","US"
"Anna Kova","female","0","person","FR"
"Anna Naklab","female","27","person","DE"
"Anna Of The North","female","29","person",""
"Anna Puu","female","38","person","FI"
"Anna Tatangelo","female","33","person","IT"
"Anna Ternheim","female","42","person","SE"
"Anna Untz","","0","",""
"Anna Wise","female","29","person",""
"Annalisa","female","34","person","IT"
"Anne Grete Preus","female","62","person","NO"
"Anne Linnet","female","67","person","DK"
"Anne-M","female","0","person","BR"
"Anne-Marie","","0","",""
"AnnenMayKantereit","mixed","9","group","DE"
"Annie Lennox","female","65","person","GB"
"Anniina","female","37","person","FI"
"Annika Herlitz","female","35","person","SE"
"Anonimus","male","38","person","PR"
"Anonym","","0","",""
"Anouk","female","45","person","NL"
"Ansel Elgort","male","26","person","US"
"Anselmo Ralph","male","0","person","AO"
"ansis","male","33","person","LV"
"Anssi Kela","male","48","person","FI"
"Ant Clemons","male","0","person",""
"Ant Saunders","male","0","person",""
"Ant Wan","","0","",""
"Antara Mitra","female","33","person",""
"Anthony","male","68","person","GB"
"Anthony E","male","0","person",""
"Anthony Gonzalez","","0","",""
"Anthony Jasmin","mixed","0","group","DK"
"Anthony Ramos","male","28","person","US"
"Anto Paga","","0","",""
"Anton","male","72","person","AT"
"Anton Hagman","male","21","person","SE"
"Anton Powers","male","0","person",""
"Antonello Venditti","male","71","person","IT"
"Antonio Carmona","male","55","person","ES"
"Antonio D","male","0","person","SE"
"Antonio José","male","25","person","ES"
"Antonio Orozco","male","47","person","ES"
"Antony & Cleopatra","mixed","6","group",""
"Antony Parviainen","male","0","person","FI"
"Antti Ketonen","male","0","person","FI"
"Antti Railio","male","36","person","FI"
"Antti Tuisku","male","36","person","FI"
"Anuar & Ellina","male","0","person","CH"
"Anuel","male","27","person","PR"
"Anuel Aa","male","27","person","PR"
"Anurag Kulkarni","male","27","person","IN"
"Anushka Sharma","female","32","person","IN"
"Apache 207","male","22","person","DE"
"Aparshakti Khurana","male","0","person",""
"Apink","mixed","9","group","KR"
"Apocalyptica","mixed","27","group","FI"
"Apollo G","mixed","0","group","DE"
"ApoRed","","0","",""
